9274-261 123 8
Datum;Text;Typ;Budgetgrupp;Belopp;Saldo
2023-09-30;Överföring.s;Övrigt;Övrigt;-1 000,00 kr;1 644,89 kr
2023-09-29;Överföring.t;Övrigt;Övrigt;-2 000,00 kr;2 644,89 kr
2023-09-29;TheUnion;E-faktura;Övrigt;-235,00 kr;4 644,89 kr
2023-09-28;ACME co;Övrigt;Övrigt;-7 000,00 kr;4 879,89 kr
2023-09-28;GAS LTD;Övrigt;Övrigt;-868,90 kr;11 879,89 kr
2023-09-28;Klarna Bank Ab;Pg-Bg;Övrigt;-1 668,00 kr;12 748,79 kr
2023-09-28;The Place;Pg-Bg;Övrigt;-1 610,98 kr;14 416,79 kr
2023-09-28;Electricity AB;E-faktura;Övrigt;-1 463,00 kr;16 027,77 kr
2023-09-27;Parkster / Billogram;Pg-Bg;Övrigt;-58,00 kr;17 490,77 kr
2023-09-27;1231232 Pressbyrån;Pg-Bg;Övrigt;-25,00 kr;17 548,77 kr
2023-09-27;Bil-Finans;Pg-Bg;Övrigt;-263,20 kr;17 573,77 kr
2023-09-27;Trygg-Hansa;Pg-Bg;Övrigt;-297,53 kr;17 836,97 kr
